iter	Passed	Remaining
681	1718	801
682	1723	800
683	1725	797
684	1727	794
685	1728	791
686	1730	788
687	1732	785
688	1734	782
689	1737	780
690	1739	777
691	1741	775
692	1742	772
693	1744	769
694	1746	766
695	1747	763
696	1749	760
697	1758	760
698	1760	758
699	1762	755
700	1763	752
701	1765	749
702	1767	746
703	1770	744
704	1772	741
705	1774	738
706	1776	736
707	1777	733
708	1779	730
709	1783	728
710	1785	725
711	1786	722
712	1788	720
713	1790	717
714	1792	714
715	1794	711
716	1799	710
717	1801	707
718	1804	705
719	1805	702
720	1807	699
721	1809	696
722	1815	695
723	1818	693
724	1820	690
725	1822	687
726	1823	684
727	1827	682
728	1829	680
729	1831	677
730	1833	674
731	1835	671
732	1836	669
733	1838	666
734	1840	663
735	1845	661
736	1847	659
737	1849	656
738	1851	653
739	1852	650
740	1854	648
741	1856	645
742	1859	643
743	1860	640
744	1862	637
745	1864	634
746	1865	631
747	1867	629
748	1869	626
749	1875	625
750	1877	622
751	1879	619
752	1880	616
753	1882	614
754	1883	611
755	1886	608
756	1888	606
757	1890	603
758	1891	600
759	1893	598
760	1895	595
761	1896	592
762	1898	589
763	1901	587
764	1904	584
765	1905	582
766	1907	579
767	1909	576
768	1911	574
769	1913	571
770	1914	568
771	1917	566
772	1919	563
773	1921	561
774	1923	558
775	1925	555
776	1926	552
777	1928	550
778	1930	547
779	1938	546
780	1940	544
781	1942	541
782	1944	538
783	1946	536
784	1949	533
785	1951	531
786	1953	528
787	1955	525
788	1956	523
789	1958	520
790	1959	517
791	1965	516
792	1967	513
793	1969	510
794	1970	508
795	1972	505
796	1973	502
797	1975	499
798	1979	497
799	1981	495
800	1983	492
801	1985	490
802	1986	487
803	1988	484
804	1989	481
805	2002	482
806	2004	479
807	2007	477
808	2011	474
809	2012	472
810	2014	469
811	2016	466
812	2017	464
813	2019	461
814	2021	458
815	2023	456
816	2025	453
817	2027	451
818	2029	448
819	2030	445
820	2032	443
821	2034	440
822	2035	437
823	2037	435
824	2040	432
825	2041	430
826	2043	427
827	2045	424
828	2047	422
829	2048	419
830	2050	417
831	2057	415
832	2059	412
833	2061	410
834	2063	407
835	2064	405
836	2066	402
837	2068	399
838	2071	397
839	2072	394
840	2074	392
841	2076	389
842	2077	386
843	2079	384
844	2081	381
845	2086	379
846	2088	377
847	2089	374
848	2091	372
849	2093	369
850	2094	366
851	2096	364
852	2099	361
853	2101	359
854	2102	356
855	2104	354
856	2106	351
857	2107	348
858	2109	346
859	2110	343
860	2113	341
861	2119	339
862	2121	336
863	2123	334
864	2124	331
865	2126	329
866	2128	326
867	2131	324
868	2133	321
869	2134	318
870	2136	316
871	2137	313
872	2139	311
873	2141	308
874	2144	306
875	2145	303
876	2147	301
877	2149	298
878	2151	296
879	2152	293
880	2154	290
881	2156	288
882	2158	286
883	2161	283
884	2163	281
885	2164	278
886	2167	276
887	2168	273
888	2170	271
889	2172	268
890	2177	266
891	2180	264
892	2182	261
893	2183	258
894	2185	256
895	2187	253
896	2189	251
897	2192	248
898	2194	246
899	2195	243
900	2197	241
901	2199	238
902	2200	236
903	2206	234
904	2208	231
905	2210	229
906	2212	226
907	2214	224
908	2215	221
909	2218	219
910	2220	216
911	2222	214
912	2224	211
913	2226	209
914	2227	206
915	2229	204
916	2231	201
917	2239	200
918	2241	197
919	2243	195
920	2245	192
921	2246	190
922	2248	187
923	2251	185
924	2253	182
925	2255	180
926	2257	177
927	2258	175
928	2260	172
929	2261	170
930	2264	167
931	2267	165
932	2269	162
933	2270	160
934	2272	157
935	2274	155
936	2275	153
937	2277	150
938	2279	148
939	2281	145
940	2283	143
941	2284	140
942	2286	138
943	2288	135
944	2289	133
945	2291	130
946	2292	128
947	2297	126
948	2299	123
949	2300	121
950	2302	118
951	2304	116
952	2305	113
953	2307	111
954	2309	108
955	2311	106
956	2313	103
957	2314	101
958	2316	99
959	2318	96
960	2319	94
961	2321	91
962	2326	89
963	2327	86
964	2329	84
965	2331	82
966	2333	79
967	2335	77
968	2337	74
969	2341	72
970	2342	69
971	2344	67
972	2347	65
973	2348	62
974	2350	60
975	2352	57
976	2357	55
977	2360	53
978	2362	50
979	2364	48
980	2365	45
981	2367	43
982	2369	40
983	2371	38
984	2373	36
985	2376	33
986	2378	31
987	2379	28
988	2381	26
989	2386	24
990	2388	21
991	2390	19
992	2392	16
993	2394	14
994	2395	12
995	2397	9
996	2403	7
997	2404	4
998	2406	2
999	2407	0
